t	u_avg	u_sdev	d-g0n0	g0n0	d-g0n1	g0n1	d-g0n4	g0n4	d-g0n8	g0n8	d-g0n10	g0n10	d-g0n14	g0n14	d-g0n15	g0n15	d-g0n17	g0n17	d-g0n18	g0n18	d-g1n1	g1n1	d-g1n3	g1n3	d-g1n4	g1n4	d-g1n5	g1n5	d-g1n6	g1n6	d-g1n9	g1n9	d-g1n16	g1n16	d-g1n18	g1n18	d-g1n19	g1n19	d-g2n1	g2n1	d-g2n4	g2n4	d-g2n5	g2n5	d-g2n6	g2n6	d-g2n8	g2n8	d-g2n10	g2n10	d-g2n14	g2n14	d-g2n15	g2n15	d-g2n17	g2n17	d-g3n1	g3n1	d-g3n2	g3n2	d-g3n7	g3n7	d-g3n8	g3n8	d-g3n10	g3n10	d-g3n12	g3n12	d-g3n15	g3n15	d-g3n16	g3n16	d-g3n19	g3n19	d-g4n0	g4n0	d-g4n3	g4n3	d-g4n5	g4n5	d-g4n6	g4n6	d-g4n7	g4n7	d-g4n9	g4n9	d-g4n11	g4n11	d-g4n12	g4n12	d-g4n13	g4n13	d-g4n14	g4n14	d-g4n16	g4n16	d-g4n17	g4n17	d-g4n18	g4n18	d-g4n19	g4n19	d-g5n0	g5n0	d-g5n6	g5n6	d-g5n7	g5n7	d-g5n11	g5n11	d-g5n12	g5n12	d-g5n13	g5n13	d-g5n18	g5n18	d-g5n19	g5n19	d-g6n0	g6n0	d-g6n2	g6n2	d-g6n3	g6n3	d-g6n4	g6n4	d-g6n5	g6n5	d-g6n7	g6n7	d-g6n11	g6n11	d-g6n14	g6n14	d-g6n15	g6n15	d-g6n17	g6n17	d-g7n1	g7n1	d-g7n2	g7n2	d-g7n3	g7n3	d-g7n9	g7n9	d-g7n10	g7n10	d-g7n11	g7n11	d-g7n12	g7n12	d-g7n13	g7n13	d-g7n14	g7n14	d-g7n19	g7n19	d-g8n2	g8n2	d-g8n3	g8n3	d-g8n5	g8n5	d-g8n8	g8n8	d-g8n9	g8n9	d-g8n10	g8n10	d-g8n11	g8n11	d-g8n13	g8n13	d-g8n16	g8n16	d-g8n17	g8n17	d-g8n18	g8n18	d-g9n0	g9n0	d-g9n2	g9n2	d-g9n4	g9n4	d-g9n6	g9n6	d-g9n7	g9n7	d-g9n8	g9n8	d-g9n9	g9n9	d-g9n12	g9n12	d-g9n13	g9n13	d-g9n15	g9n15	d-g9n16	g9n16	
786	1.00	0.00	8	8	3	3	7	7	2	2	7	7	2	2	3	3	7	7	5	5	5	5	5	5	4	4	4	4	8	8	1	1	0	0	5	5	8	8	0	0	1	1	4	4	3	3	3	3	4	4	0	0	3	3	0	0	6	6	4	4	4	4	8	8	2	2	5	5	6	6	2	2	0	0	5	5	2	2	8	8	2	2	4	4	7	7	7	7	6	6	3	3	5	5	4	4	0	0	0	0	2	2	7	7	5	5	8	8	7	7	4	4	2	2	4	4	0	0	2	2	5	5	4	4	3	3	1	1	2	2	7	7	6	6	6	6	7	7	3	3	4	4	6	6	7	7	6	6	4	4	7	7	8	8	8	8	4	4	6	6	3	3	3	3	6	6	3	3	1	1	8	8	5	5	1	1	5	5	0	0	2	2	7	7	2	2	4	4	3	3	7	7	5	5	7	7	5	5	0	0	2	2	
787	1.00	0.00	2	2	4	4	3	3	0	0	6	6	7	7	6	6	2	2	6	6	2	2	1	1	2	2	6	6	2	2	7	7	7	7	3	3	2	2	1	1	7	7	1	1	2	2	6	6	5	5	3	3	7	7	7	7	6	6	3	3	0	0	4	4	0	0	7	7	5	5	6	6	5	5	1	1	6	6	1	1	4	4	6	6	1	1	2	2	6	6	1	1	2	2	5	5	0	0	8	8	5	5	2	2	7	7	1	1	8	8	4	4	4	4	6	6	1	1	5	5	8	8	8	8	7	7	3	3	1	1	6	6	8	8	6	6	4	4	3	3	6	6	4	4	0	0	4	4	3	3	4	4	5	5	5	5	8	8	5	5	8	8	2	2	6	6	0	0	7	7	8	8	3	3	8	8	8	8	8	8	5	5	0	0	4	4	7	7	5	5	7	7	5	5	3	3	7	7	1	1	6	6	
788	1.00	0.00	4	4	6	6	6	6	5	5	4	4	0	0	5	5	3	3	8	8	8	8	3	3	7	7	5	5	7	7	4	4	1	1	2	2	2	2	4	4	4	4	4	4	8	8	6	6	6	6	7	7	8	8	8	8	3	3	2	2	3	3	1	1	3	3	0	0	4	4	1	1	2	2	8	8	4	4	7	7	6	6	5	5	5	5	2	2	5	5	3	3	2	2	7	7	8	8	4	4	0	0	7	7	8	8	4	4	4	4	7	7	8	8	8	8	7	7	8	8	0	0	6	6	5	5	5	5	8	8	5	5	6	6	1	1	4	4	4	4	6	6	7	7	5	5	6	6	1	1	8	8	2	2	7	7	1	1	4	4	6	6	7	7	2	2	4	4	4	4	6	6	4	4	7	7	6	6	5	5	8	8	3	3	4	4	6	6	5	5	1	1	6	6	2	2	6	6	4	4	0	0	
789	1.00	0.00	1	1	1	1	1	1	8	8	7	7	6	6	3	3	6	6	1	1	3	3	8	8	0	0	7	7	0	0	1	1	8	8	0	0	5	5	0	0	3	3	2	2	8	8	8	8	5	5	3	3	1	1	6	6	3	3	2	2	2	2	6	6	6	6	4	4	4	4	8	8	0	0	1	1	0	0	8	8	3	3	4	4	5	5	1	1	0	0	1	1	4	4	5	5	4	4	1	1	5	5	5	5	6	6	6	6	8	8	0	0	6	6	3	3	3	3	6	6	3	3	7	7	2	2	8	8	2	2	1	1	3	3	4	4	6	6	2	2	2	2	5	5	2	2	1	1	7	7	5	5	6	6	0	0	8	8	3	3	7	7	4	4	8	8	4	4	1	1	5	5	3	3	5	5	1	1	2	2	3	3	4	4	0	0	0	0	6	6	7	7	7	7	8	8	8	8	8	8	6	6	
790	1.00	0.00	7	7	5	5	3	3	2	2	3	3	7	7	4	4	5	5	6	6	6	6	0	0	8	8	3	3	3	3	7	7	5	5	7	7	8	8	1	1	1	1	3	3	4	4	8	8	6	6	2	2	5	5	2	2	3	3	1	1	3	3	0	0	7	7	8	8	8	8	5	5	4	4	2	2	0	0	7	7	2	2	3	3	8	8	4	4	0	0	8	8	4	4	4	4	2	2	1	1	0	0	5	5	3	3	3	3	3	3	1	1	8	8	8	8	7	7	7	7	4	4	1	1	3	3	7	7	1	1	7	7	3	3	2	2	1	1	8	8	5	5	2	2	4	4	1	1	0	0	7	7	5	5	4	4	0	0	1	1	8	8	3	3	7	7	6	6	8	8	2	2	0	0	2	2	1	1	0	0	1	1	2	2	7	7	5	5	8	8	0	0	3	3	1	1	3	3	4	4	8	8	
791	1.00	0.00	4	4	5	5	3	3	1	1	5	5	0	0	7	7	7	7	7	7	2	2	0	0	3	3	1	1	1	1	0	0	5	5	7	7	0	0	4	4	6	6	1	1	4	4	1	1	3	3	0	0	7	7	1	1	7	7	2	2	5	5	8	8	2	2	6	6	6	6	8	8	5	5	1	1	0	0	2	2	5	5	7	7	8	8	7	7	6	6	2	2	8	8	1	1	4	4	8	8	5	5	5	5	1	1	3	3	3	3	1	1	0	0	1	1	4	4	7	7	7	7	3	3	0	0	3	3	2	2	3	3	8	8	2	2	8	8	7	7	0	0	4	4	4	4	8	8	5	5	2	2	5	5	3	3	1	1	6	6	8	8	4	4	6	6	6	6	3	3	1	1	2	2	7	7	5	5	0	0	4	4	5	5	2	2	2	2	2	2	2	2	0	0	6	6	5	5	3	3	5	5	
792	1.00	0.00	6	6	0	0	0	0	4	4	6	6	3	3	1	1	3	3	8	8	8	8	2	2	6	6	1	1	1	1	0	0	5	5	3	3	1	1	0	0	7	7	0	0	7	7	8	8	8	8	5	5	1	1	0	0	0	0	7	7	3	3	4	4	8	8	4	4	7	7	7	7	1	1	8	8	0	0	4	4	7	7	7	7	6	6	3	3	8	8	6	6	0	0	4	4	5	5	3	3	8	8	3	3	3	3	1	1	7	7	5	5	5	5	6	6	2	2	1	1	8	8	2	2	0	0	0	0	4	4	7	7	7	7	7	7	3	3	8	8	6	6	2	2	1	1	6	6	6	6	7	7	3	3	8	8	8	8	5	5	3	3	0	0	2	2	5	5	8	8	3	3	4	4	2	2	2	2	4	4	1	1	4	4	7	7	6	6	4	4	6	6	3	3	8	8	0	0	7	7	3	3	
793	1.00	0.00	5	5	7	7	4	4	5	5	5	5	1	1	8	8	7	7	6	6	1	1	6	6	6	6	6	6	4	4	5	5	6	6	2	2	2	2	3	3	3	3	5	5	7	7	7	7	4	4	1	1	4	4	7	7	5	5	2	2	4	4	2	2	3	3	4	4	8	8	4	4	0	0	6	6	2	2	4	4	5	5	1	1	0	0	3	3	8	8	3	3	8	8	7	7	2	2	6	6	5	5	4	4	7	7	1	1	3	3	0	0	0	0	4	4	7	7	0	0	0	0	4	4	8	8	0	0	6	6	5	5	6	6	7	7	5	5	1	1	4	4	1	1	5	5	6	6	7	7	0	0	7	7	4	4	6	6	0	0	0	0	6	6	4	4	6	6	3	3	6	6	3	3	6	6	2	2	8	8	4	4	1	1	7	7	4	4	1	1	2	2	2	2	4	4	1	1	1	1	0	0	
794	1.00	0.00	2	2	4	4	7	7	1	1	3	3	7	7	5	5	8	8	8	8	5	5	4	4	6	6	1	1	4	4	4	4	4	4	2	2	5	5	5	5	8	8	7	7	2	2	8	8	5	5	2	2	2	2	5	5	4	4	4	4	6	6	0	0	2	2	4	4	0	0	7	7	6	6	8	8	1	1	3	3	8	8	5	5	0	0	0	0	7	7	1	1	2	2	0	0	7	7	6	6	3	3	1	1	4	4	1	1	1	1	0	0	4	4	8	8	3	3	7	7	3	3	5	5	8	8	2	2	7	7	1	1	5	5	0	0	2	2	5	5	4	4	2	2	0	0	5	5	2	2	3	3	5	5	6	6	4	4	6	6	0	0	2	2	5	5	3	3	2	2	6	6	7	7	2	2	5	5	7	7	0	0	3	3	7	7	8	8	4	4	7	7	2	2	2	2	2	2	2	2	2	2	
795	1.00	0.00	8	8	1	1	4	4	0	0	2	2	8	8	4	4	6	6	0	0	3	3	8	8	4	4	3	3	4	4	2	2	8	8	6	6	3	3	0	0	5	5	3	3	7	7	7	7	7	7	7	7	6	6	0	0	5	5	5	5	0	0	4	4	2	2	1	1	5	5	6	6	5	5	8	8	2	2	3	3	6	6	5	5	2	2	6	6	3	3	2	2	2	2	2	2	8	8	5	5	0	0	1	1	6	6	2	2	0	0	7	7	8	8	3	3	7	7	3	3	5	5	1	1	5	5	5	5	3	3	3	3	5	5	6	6	2	2	0	0	2	2	0	0	8	8	4	4	3	3	6	6	3	3	3	3	1	1	7	7	5	5	6	6	8	8	8	8	7	7	1	1	1	1	0	0	0	0	4	4	6	6	1	1	0	0	3	3	5	5	5	5	2	2	5	5	5	5	8	8	2	2	
796	1.00	0.00	0	0	0	0	3	3	6	6	5	5	8	8	3	3	3	3	7	7	2	2	7	7	3	3	5	5	2	2	3	3	4	4	5	5	3	3	1	1	1	1	3	3	0	0	1	1	5	5	5	5	8	8	8	8	4	4	2	2	3	3	7	7	5	5	5	5	7	7	6	6	7	7	0	0	7	7	0	0	2	2	4	4	4	4	5	5	1	1	2	2	4	4	4	4	0	0	5	5	6	6	4	4	5	5	3	3	4	4	2	2	4	4	0	0	3	3	6	6	1	1	3	3	1	1	2	2	7	7	8	8	8	8	2	2	7	7	1	1	2	2	2	2	1	1	7	7	6	6	0	0	3	3	1	1	2	2	7	7	2	2	1	1	2	2	4	4	3	3	2	2	0	0	1	1	5	5	8	8	3	3	8	8	4	4	1	1	6	6	2	2	0	0	3	3	7	7	5	5	0	0	
797	1.00	0.00	5	5	4	4	0	0	3	3	4	4	3	3	7	7	0	0	2	2	5	5	8	8	6	6	3	3	0	0	0	0	4	4	6	6	1	1	1	1	6	6	3	3	8	8	3	3	5	5	0	0	5	5	5	5	6	6	0	0	8	8	0	0	5	5	0	0	6	6	6	6	8	8	3	3	7	7	1	1	3	3	4	4	7	7	7	7	5	5	7	7	5	5	3	3	0	0	2	2	0	0	8	8	3	3	6	6	3	3	2	2	1	1	2	2	7	7	2	2	7	7	8	8	2	2	0	0	5	5	7	7	6	6	4	4	0	0	4	4	2	2	7	7	5	5	6	6	0	0	8	8	4	4	3	3	2	2	0	0	8	8	8	8	7	7	6	6	3	3	2	2	4	4	7	7	5	5	6	6	4	4	2	2	5	5	0	0	3	3	4	4	5	5	0	0	8	8	4	4	4	4	
798	1.00	0.00	1	1	7	7	7	7	4	4	1	1	4	4	8	8	6	6	6	6	0	0	7	7	7	7	7	7	8	8	6	6	4	4	7	7	4	4	3	3	0	0	0	0	8	8	4	4	0	0	3	3	4	4	2	2	4	4	0	0	4	4	2	2	3	3	3	3	3	3	5	5	6	6	2	2	2	2	5	5	7	7	2	2	1	1	7	7	7	7	6	6	8	8	1	1	1	1	1	1	1	1	4	4	2	2	2	2	1	1	1	1	3	3	6	6	0	0	1	1	7	7	5	5	7	7	6	6	3	3	6	6	8	8	0	0	0	0	2	2	8	8	3	3	2	2	0	0	4	4	6	6	6	6	8	8	1	1	2	2	8	8	1	1	7	7	3	3	2	2	8	8	3	3	3	3	1	1	2	2	0	0	7	7	5	5	4	4	0	0	3	3	1	1	3	3	5	5	8	8	7	7	
799	1.00	0.00	4	4	6	6	0	0	3	3	7	7	5	5	2	2	0	0	1	1	7	7	5	5	8	8	1	1	8	8	2	2	2	2	1	1	1	1	0	0	6	6	3	3	7	7	0	0	1	1	4	4	3	3	8	8	6	6	1	1	0	0	3	3	0	0	0	0	0	0	5	5	0	0	5	5	2	2	6	6	0	0	7	7	7	7	4	4	0	0	1	1	1	1	2	2	6	6	2	2	7	7	8	8	5	5	0	0	1	1	4	4	3	3	2	2	6	6	1	1	3	3	6	6	0	0	0	0	5	5	1	1	2	2	1	1	8	8	6	6	2	2	6	6	4	4	7	7	0	0	6	6	8	8	2	2	7	7	2	2	8	8	1	1	0	0	3	3	7	7	4	4	8	8	8	8	8	8	4	4	5	5	6	6	0	0	0	0	5	5	8	8	3	3	4	4	6	6	8	8	8	8	
800	1.00	0.00	6	6	4	4	3	3	8	8	7	7	6	6	3	3	3	3	4	4	5	5	8	8	8	8	8	8	6	6	7	7	0	0	3	3	4	4	2	2	7	7	6	6	8	8	4	4	2	2	1	1	8	8	8	8	7	7	0	0	4	4	1	1	4	4	8	8	0	0	1	1	8	8	4	4	2	2	5	5	7	7	6	6	3	3	0	0	4	4	6	6	2	2	4	4	6	6	2	2	0	0	6	6	0	0	2	2	2	2	1	1	7	7	3	3	4	4	1	1	2	2	6	6	1	1	5	5	4	4	3	3	8	8	5	5	5	5	4	4	0	0	6	6	2	2	2	2	7	7	4	4	7	7	4	4	2	2	0	0	7	7	0	0	8	8	1	1	0	0	3	3	2	2	0	0	8	8	3	3	6	6	6	6	1	1	0	0	5	5	2	2	1	1	4	4	2	2	5	5	2	2	
801	1.00	0.00	0	0	6	6	7	7	1	1	8	8	1	1	1	1	2	2	7	7	7	7	7	7	4	4	1	1	0	0	5	5	2	2	7	7	2	2	3	3	7	7	3	3	2	2	8	8	0	0	0	0	6	6	8	8	8	8	4	4	6	6	1	1	8	8	3	3	0	0	2	2	3	3	5	5	1	1	4	4	7	7	8	8	1	1	3	3	0	0	7	7	8	8	2	2	6	6	3	3	4	4	7	7	0	0	3	3	0	0	3	3	6	6	3	3	6	6	5	5	7	7	7	7	1	1	4	4	6	6	7	7	2	2	5	5	1	1	4	4	3	3	8	8	7	7	1	1	3	3	1	1	0	0	3	3	5	5	6	6	3	3	6	6	3	3	2	2	3	3	6	6	6	6	5	5	4	4	4	4	0	0	1	1	5	5	3	3	1	1	1	1	1	1	7	7	0	0	0	0	3	3	
802	1.00	0.00	8	8	1	1	2	2	2	2	5	5	5	5	2	2	6	6	0	0	7	7	1	1	0	0	5	5	1	1	0	0	5	5	6	6	1	1	4	4	4	4	8	8	1	1	6	6	4	4	0	0	4	4	5	5	1	1	6	6	6	6	8	8	6	6	3	3	5	5	1	1	2	2	0	0	0	0	0	0	0	0	7	7	4	4	7	7	8	8	1	1	7	7	6	6	2	2	3	3	6	6	0	0	0	0	5	5	4	4	3	3	8	8	5	5	2	2	8	8	0	0	3	3	3	3	5	5	4	4	7	7	5	5	4	4	1	1	3	3	0	0	7	7	5	5	1	1	5	5	2	2	7	7	3	3	0	0	1	1	3	3	2	2	0	0	4	4	4	4	2	2	5	5	2	2	1	1	5	5	5	5	0	0	3	3	6	6	6	6	8	8	4	4	8	8	1	1	4	4	7	7	
803	1.00	0.00	4	4	0	0	7	7	0	0	1	1	0	0	1	1	3	3	3	3	4	4	1	1	1	1	2	2	2	2	4	4	3	3	0	0	2	2	6	6	2	2	1	1	8	8	6	6	6	6	2	2	6	6	2	2	0	0	1	1	3	3	0	0	7	7	2	2	5	5	2	2	5	5	2	2	3	3	6	6	5	5	6	6	6	6	8	8	2	2	2	2	5	5	6	6	7	7	4	4	3	3	8	8	6	6	3	3	0	0	0	0	3	3	5	5	3	3	7	7	2	2	6	6	7	7	1	1	3	3	7	7	1	1	2	2	8	8	8	8	2	2	8	8	1	1	6	6	1	1	2	2	1	1	1	1	1	1	2	2	8	8	6	6	5	5	3	3	0	0	8	8	2	2	8	8	0	0	1	1	7	7	5	5	2	2	3	3	0	0	3	3	6	6	8	8	6	6	7	7	1	1	
804	1.00	0.00	7	7	8	8	3	3	2	2	4	4	1	1	2	2	4	4	6	6	8	8	6	6	0	0	2	2	6	6	5	5	3	3	0	0	4	4	5	5	2	2	3	3	5	5	1	1	4	4	0	0	0	0	6	6	4	4	5	5	8	8	2	2	7	7	7	7	5	5	5	5	6	6	2	2	4	4	8	8	2	2	6	6	5	5	2	2	5	5	0	0	6	6	7	7	6	6	5	5	8	8	6	6	3	3	8	8	6	6	5	5	1	1	2	2	8	8	3	3	4	4	5	5	4	4	4	4	0	0	8	8	4	4	6	6	1	1	2	2	6	6	6	6	5	5	4	4	8	8	7	7	4	4	8	8	5	5	7	7	0	0	6	6	5	5	2	2	1	1	8	8	5	5	1	1	8	8	5	5	7	7	4	4	8	8	8	8	0	0	8	8	6	6	3	3	4	4	0	0	8	8	
805	1.00	0.00	4	4	3	3	7	7	5	5	8	8	8	8	8	8	7	7	7	7	3	3	8	8	3	3	6	6	4	4	3	3	5	5	7	7	3	3	3	3	7	7	0	0	6	6	6	6	6	6	4	4	7	7	6	6	1	1	1	1	5	5	4	4	5	5	5	5	4	4	5	5	8	8	1	1	8	8	3	3	3	3	7	7	5	5	4	4	7	7	6	6	6	6	7	7	0	0	0	0	6	6	1	1	3	3	7	7	1	1	5	5	0	0	3	3	0	0	8	8	6	6	0	0	4	4	8	8	2	2	1	1	2	2	1	1	6	6	4	4	6	6	7	7	3	3	1	1	8	8	8	8	1	1	0	0	6	6	6	6	6	6	5	5	8	8	4	4	4	4	5	5	4	4	8	8	5	5	8	8	6	6	2	2	5	5	6	6	6	6	8	8	3	3	6	6	2	2	2	2	4	4	
806	1.00	0.00	8	8	1	1	0	0	2	2	3	3	0	0	5	5	1	1	6	6	0	0	1	1	4	4	2	2	0	0	3	3	1	1	3	3	5	5	4	4	4	4	1	1	0	0	2	2	0	0	8	8	1	1	3	3	4	4	0	0	1	1	2	2	4	4	4	4	7	7	4	4	4	4	0	0	8	8	4	4	1	1	7	7	3	3	3	3	2	2	6	6	0	0	2	2	6	6	3	3	3	3	6	6	4	4	6	6	7	7	7	7	1	1	3	3	3	3	4	4	0	0	8	8	1	1	1	1	7	7	1	1	1	1	0	0	3	3	6	6	7	7	0	0	2	2	1	1	4	4	8	8	5	5	8	8	4	4	7	7	6	6	1	1	0	0	7	7	3	3	6	6	8	8	7	7	7	7	4	4	3	3	0	0	4	4	1	1	4	4	1	1	4	4	2	2	0	0	0	0	5	5	
807	1.00	0.00	0	0	4	4	6	6	1	1	8	8	5	5	5	5	6	6	5	5	0	0	0	0	4	4	6	6	8	8	8	8	1	1	3	3	3	3	8	8	8	8	1	1	0	0	3	3	6	6	8	8	4	4	1	1	2	2	2	2	5	5	7	7	3	3	6	6	7	7	4	4	4	4	0	0	7	7	4	4	6	6	2	2	8	8	2	2	6	6	0	0	1	1	3	3	0	0	4	4	8	8	7	7	2	2	8	8	6	6	4	4	4	4	3	3	4	4	6	6	0	0	2	2	0	0	1	1	2	2	0	0	6	6	7	7	4	4	4	4	5	5	0	0	1	1	3	3	4	4	1	1	4	4	8	8	8	8	5	5	4	4	7	7	3	3	3	3	5	5	5	5	3	3	5	5	5	5	2	2	2	2	8	8	1	1	6	6	3	3	1	1	8	8	3	3	4	4	6	6	4	4	
808	1.00	0.00	6	6	2	2	2	2	4	4	5	5	2	2	0	0	7	7	0	0	1	1	3	3	2	2	5	5	5	5	4	4	4	4	5	5	5	5	7	7	4	4	1	1	7	7	8	8	6	6	3	3	7	7	1	1	7	7	1	1	2	2	5	5	5	5	8	8	2	2	0	0	7	7	2	2	1	1	5	5	3	3	6	6	4	4	0	0	8	8	8	8	4	4	2	2	6	6	6	6	8	8	5	5	6	6	8	8	4	4	5	5	0	0	3	3	0	0	3	3	1	1	8	8	0	0	5	5	1	1	4	4	0	0	0	0	1	1	8	8	1	1	4	4	5	5	4	4	1	1	0	0	1	1	3	3	0	0	7	7	7	7	2	2	1	1	2	2	0	0	2	2	8	8	0	0	1	1	7	7	0	0	5	5	2	2	0	0	4	4	0	0	8	8	2	2	8	8	0	0	2	2	
809	1.00	0.00	6	6	3	3	8	8	5	5	4	4	5	5	5	5	7	7	4	4	0	0	7	7	3	3	7	7	5	5	5	5	7	7	7	7	4	4	1	1	2	2	4	4	5	5	7	7	7	7	8	8	6	6	5	5	7	7	2	2	0	0	1	1	4	4	1	1	7	7	5	5	2	2	5	5	8	8	3	3	8	8	6	6	2	2	8	8	7	7	5	5	3	3	2	2	4	4	1	1	0	0	0	0	8	8	4	4	8	8	7	7	7	7	0	0	3	3	0	0	2	2	4	4	6	6	8	8	8	8	3	3	3	3	0	0	8	8	0	0	6	6	2	2	3	3	1	1	4	4	0	0	4	4	1	1	8	8	2	2	8	8	4	4	1	1	5	5	7	7	8	8	7	7	2	2	1	1	6	6	1	1	6	6	0	0	0	0	5	5	0	0	6	6	3	3	4	4	6	6	6	6	
810	1.00	0.00	2	2	8	8	3	3	8	8	6	6	0	0	1	1	0	0	3	3	3	3	8	8	6	6	7	7	6	6	4	4	8	8	1	1	8	8	1	1	5	5	5	5	3	3	6	6	5	5	5	5	4	4	2	2	3	3	0	0	8	8	6	6	4	4	7	7	2	2	2	2	2	2	2	2	6	6	3	3	0	0	4	4	7	7	8	8	5	5	5	5	0	0	3	3	1	1	6	6	5	5	1	1	0	0	1	1	0	0	2	2	1	1	4	4	5	5	7	7	1	1	4	4	6	6	7	7	7	7	0	0	2	2	1	1	6	6	5	5	5	5	8	8	7	7	0	0	7	7	8	8	4	4	6	6	7	7	2	2	8	8	2	2	2	2	3	3	5	5	1	1	2	2	5	5	1	1	3	3	0	0	5	5	0	0	2	2	1	1	2	2	8	8	4	4	4	4	4	4	1	1	
811	1.00	0.00	2	2	6	6	5	5	1	1	3	3	6	6	6	6	7	7	5	5	6	6	2	2	7	7	8	8	7	7	0	0	2	2	5	5	4	4	7	7	8	8	0	0	0	0	8	8	2	2	6	6	1	1	8	8	3	3	3	3	2	2	7	7	2	2	2	2	0	0	0	0	0	0	6	6	6	6	3	3	0	0	2	2	6	6	6	6	2	2	0	0	0	0	3	3	4	4	1	1	4	4	4	4	8	8	0	0	8	8	3	3	5	5	1	1	4	4	7	7	5	5	8	8	5	5	5	5	3	3	3	3	5	5	7	7	3	3	6	6	3	3	8	8	7	7	4	4	5	5	3	3	1	1	2	2	7	7	8	8	5	5	3	3	7	7	1	1	1	1	0	0	7	7	0	0	0	0	8	8	5	5	6	6	2	2	5	5	8	8	6	6	4	4	8	8	4	4	2	2	1	1	
812	1.00	0.00	6	6	5	5	5	5	5	5	0	0	1	1	3	3	8	8	8	8	6	6	3	3	6	6	8	8	7	7	5	5	1	1	1	1	0	0	1	1	7	7	1	1	6	6	7	7	7	7	0	0	4	4	6	6	8	8	0	0	4	4	0	0	7	7	0	0	5	5	4	4	0	0	7	7	5	5	1	1	3	3	6	6	1	1	4	4	4	4	3	3	3	3	2	2	8	8	3	3	4	4	2	2	6	6	0	0	5	5	8	8	2	2	1	1	4	4	8	8	8	8	0	0	2	2	5	5	8	8	3	3	3	3	0	0	4	4	5	5	0	0	1	1	3	3	0	0	1	1	0	0	5	5	7	7	8	8	7	7	2	2	3	3	6	6	2	2	8	8	8	8	0	0	5	5	2	2	1	1	7	7	7	7	8	8	8	8	4	4	1	1	2	2	2	2	5	5	7	7	6	6	
813	1.00	0.00	4	4	6	6	5	5	6	6	7	7	0	0	7	7	3	3	7	7	7	7	7	7	2	2	6	6	4	4	5	5	1	1	1	1	5	5	4	4	2	2	7	7	3	3	7	7	5	5	2	2	8	8	1	1	7	7	7	7	4	4	7	7	6	6	3	3	5	5	4	4	0	0	1	1	1	1	4	4	8	8	7	7	2	2	1	1	1	1	2	2	5	5	2	2	1	1	3	3	7	7	3	3	8	8	7	7	3	3	5	5	1	1	3	3	1	1	6	6	7	7	0	0	5	5	5	5	7	7	3	3	3	3	4	4	6	6	2	2	4	4	7	7	0	0	4	4	4	4	7	7	7	7	8	8	8	8	2	2	2	2	2	2	6	6	8	8	1	1	2	2	5	5	0	0	5	5	1	1	8	8	3	3	5	5	6	6	4	4	4	4	6	6	5	5	2	2	0	0	5	5	
814	1.00	0.00	2	2	4	4	5	5	4	4	1	1	2	2	6	6	0	0	5	5	7	7	2	2	6	6	5	5	4	4	2	2	4	4	2	2	8	8	5	5	5	5	3	3	1	1	1	1	7	7	7	7	6	6	1	1	4	4	5	5	3	3	3	3	4	4	8	8	2	2	4	4	6	6	0	0	5	5	2	2	8	8	6	6	0	0	2	2	5	5	7	7	7	7	7	7	5	5	3	3	7	7	2	2	6	6	6	6	0	0	7	7	3	3	2	2	0	0	5	5	2	2	7	7	1	1	3	3	6	6	4	4	1	1	3	3	5	5	4	4	8	8	6	6	1	1	1	1	5	5	0	0	4	4	5	5	3	3	8	8	2	2	8	8	6	6	6	6	3	3	4	4	7	7	1	1	0	0	8	8	3	3	5	5	5	5	8	8	8	8	5	5	2	2	2	2	7	7	2	2	7	7	
815	1.00	0.00	3	3	3	3	1	1	4	4	8	8	0	0	8	8	7	7	0	0	1	1	5	5	2	2	2	2	3	3	0	0	4	4	3	3	0	0	4	4	1	1	4	4	3	3	1	1	6	6	1	1	8	8	1	1	6	6	3	3	8	8	3	3	4	4	4	4	2	2	4	4	4	4	7	7	7	7	6	6	4	4	1	1	8	8	4	4	2	2	0	0	5	5	8	8	1	1	7	7	2	2	3	3	0	0	1	1	6	6	6	6	3	3	2	2	1	1	2	2	6	6	2	2	7	7	0	0	3	3	0	0	1	1	0	0	7	7	8	8	3	3	3	3	1	1	2	2	5	5	3	3	2	2	7	7	7	7	4	4	3	3	5	5	5	5	3	3	3	3	4	4	8	8	5	5	7	7	5	5	2	2	2	2	1	1	1	1	1	1	0	0	7	7	5	5	1	1	3	3	7	7	
816	1.00	0.00	5	5	5	5	2	2	1	1	2	2	2	2	2	2	5	5	2	2	0	0	0	0	0	0	7	7	6	6	4	4	1	1	0	0	2	2	4	4	1	1	1	1	4	4	0	0	0	0	8	8	3	3	4	4	8	8	7	7	3	3	5	5	8	8	4	4	8	8	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	4	7	7	0	0	5	5	3	3	8	8	1	1	2	2	5	5	4	4	8	8	6	6	0	0	7	7	5	5	0	0	0	0	8	8	4	4	3	3	8	8	7	7	1	1	8	8	7	7	0	0	0	0	7	7	2	2	5	5	0	0	7	7	6	6	1	1	7	7	7	7	6	6	8	8	0	0	3	3	5	5	7	7	2	2	1	1	0	0	3	3	0	0	2	2	5	5	3	3	0	0	4	4	6	6	2	2	1	1	7	7	5	5	8	8	1	1	
